CreatedDate,Agency,ComplaintType
10-Jan,NYPD,Noise - Residential
10-Jan,NYPD,Noise - Street/Sidewalk
10-Jan,DOT,Bus Stop Shelter Complaint
10-Jan,DPR,Damaged Tree
10-Jan,NYPD,Noise - House of Worship
10-Jan,NYPD,Noise - Residential
10-Jan,HPD,PLUMBING
10-Jan,HPD,HEATING
10-Jan,HPD,APPLIANCE
10-Jan,HPD,ELECTRIC
10-Jan,HPD,HEATING
10-Jan,HPD,PLUMBING
10-Jan,HPD,PLUMBING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,NYPD,Noise - Residential
10-Jan,NYPD,Noise - Residential
10-Jan,TLC,Taxi Complaint
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,DSNY,Dirty Conditions
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,NYPD,Noise - Residential
10-Jan,DCA,Consumer Complaint
10-Jan,TLC,Taxi Complaint
10-Jan,HPD,PLUMBING
10-Jan,DEP,Noise
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,PLUMBING
10-Jan,HPD,HEATING
10-Jan,DSNY,Dirty Conditions
10-Jan,DSNY,Dirty Conditions
10-Jan,HPD,PLUMBING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,PLUMBING
10-Jan,HPD,PLUMBING
10-Jan,HPD,HEATING
10-Jan,HPD,PLUMBING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,PLUMBING
10-Jan,HPD,PLUMBING
10-Jan,HPD,HEATING
10-Jan,HPD,PAINT - PLASTER
10-Jan,HPD,HEATING
10-Jan,NYPD,Derelict Vehicle
10-Jan,NYPD,Traffic/Illegal Parking
10-Jan,DOHMH,Rodent
10-Jan,DOF,DOF Property - Reduction Issue
10-Jan,NYPD,Noise - Residential
10-Jan,HPD,PLUMBING
10-Jan,HPD,NONCONST
10-Jan,HPD,HEATING
10-Jan,HPD,NONCONST
10-Jan,HPD,PAINT - PLASTER
10-Jan,HPD,GENERAL CONSTRUCTION
10-Jan,HPD,NONCONST
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,GENERAL CONSTRUCTION
10-Jan,HPD,HEATING
10-Jan,HPD,PLUMBING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,PLUMBING
10-Jan,HPD,HEATING
10-Jan,HPD,PAINT - PLASTER
10-Jan,HPD,HEATING
10-Jan,HPD,GENERAL CONSTRUCTION
10-Jan,HPD,GENERAL CONSTRUCTION
10-Jan,HPD,NONCONST
10-Jan,HPD,HEATING
10-Jan,HPD,GENERAL CONSTRUCTION
10-Jan,HPD,PLUMBING
10-Jan,HPD,PAINT - PLASTER
10-Jan,HPD,PLUMBING
15-Sep,DOHMH,Rodent
18-May,TLC,Taxi Complaint
18-Jun,TLC,For Hire Vehicle Complaint
18-Oct,DEP,Noise
18-Oct,HPD,WATER LEAK
18-Sep,DSNY,Graffiti
18-Sep,HPD,DOOR/WINDOW
17-Oct,DEP,Noise
18-Sep,HPD,UNSANITARY CONDITION
16-Aug,DSNY,Graffiti
18-Jun,DEP,Noise
18-Nov,DEP,Noise
16-Aug,DSNY,Graffiti
18-May,DPR,Maintenance or Facility
18-May,DPR,New Tree Request
18-Sep,DSNY,Missed Collection (All Materials)
18-Sep,HPD,APPLIANCE
18-Nov,DEP,Water System
18-Sep,HPD,WATER LEAK
18-May,DEP,Water System
18-May,DEP,Water System
18-Sep,DSNY,Missed Collection (All Materials)
18-Apr,DOT,Sidewalk Condition
18-Jul,DEP,Water System
18-Apr,DFTA,Housing - Low Income Senior
18-Aug,DOB,General Construction/Plumbing
18-Oct,DEP,Water Quality
17-May,DSNY,Sanitation Condition
18-Aug,DEP,Water Quality
18-Nov,HPD,GENERAL
18-Aug,HPD,PAINT/PLASTER
18-Aug,HPD,UNSANITARY CONDITION
18-Jul,HPD,PAINT/PLASTER
18-Jul,HPD,FLOORING/STAIRS
18-Sep,DEP,Noise
17-May,NYPD,Noise - Residential
18-Oct,HPD,GENERAL
18-Apr,DOT,Street Condition
18-Aug,DEP,Water System
10-Jan,HPD,HEATING
10-Jan,HPD,GENERAL CONSTRUCTION
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,DOB,Boilers
10-Jan,HPD,HEATING
10-Jan,HPD,APPLIANCE
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,NYPD,Noise - Residential
10-Jan,DHS,DHS Advantage - Tenant
10-Jan,TLC,Taxi Complaint
10-Jan,NYPD,Noise - Residential
10-Jan,DFTA,Elder Abuse
10-Jan,DPR,Maintenance or Facility
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,NONCONST
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,PLUMBING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,PLUMBING
10-Jan,HPD,ELECTRIC
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,GENERAL CONSTRUCTION
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,NONCONST
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,DOB,Boilers
10-Jan,NYPD,Noise - Residential
10-Jan,DHS,DHS Advantage - Tenant
10-Jan,NYPD,Noise - Residential
10-Jan,DOF,SCRIE
10-Jan,DOF,SCRIE
10-Jan,DOF,SCRIE
10-Jan,NYPD,Noise - Residential
10-Jan,DFTA,Elder Abuse
10-Jan,DOHMH,Rodent
10-Jan,DOHMH,Indoor Air Quality
10-Jan,NYPD,Noise - Residential
10-Jan,NYPD,Noise - Residential
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,PLUMBING
10-Jan,HPD,HEATING
10-Jan,HPD,GENERAL CONSTRUCTION
10-Jan,HPD,HEATING
10-Jan,HPD,PLUMBING
10-Jan,DOB,Elevator
10-Jan,HPD,PAINT - PLASTER
10-Jan,HPD,PLUMBING
10-Jan,HPD,HEATING
10-Jan,HPD,PLUMBING
17-May,NYPD,Noise - Street/Sidewalk
10-Jan,DOT,Street Condition
10-Jan,TLC,Taxi Complaint
10-Jan,DOF,DOF Property - Reduction Issue
10-Jan,NYPD,Noise - Street/Sidewalk
10-Feb,DSNY,Snow
10-Jan,HPD,NONCONST
10-Jan,HPD,PLUMBING
10-Jan,HPD,HEATING
10-Jan,HPD,PLUMBING
10-Jan,HPD,PLUMBING
10-Jan,HPD,GENERAL CONSTRUCTION
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,NONCONST
10-Jan,HPD,GENERAL CONSTRUCTION
10-Jan,HPD,NONCONST
10-Jan,HPD,APPLIANCE
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,HEATING
10-Jan,HPD,APPLIANCE
10-Jan,NYPD,Noise - Residential
10-Jan,TLC,Taxi Complaint
